City_ID,City,Lat,Lng,Current Description,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
210,Bethel,41.37,-73.41,clear sky,41.0,55,1,12.75,US,2020-05-09 22:24:37,0,0
211,Coihaique,-45.58,-72.07,moderate rain,44.6,100,90,4.68,CL,2020-05-09 22:26:29,0,0
212,Tilichiki,60.47,166.1,overcast clouds,31.68,100,100,9.78,RU,2020-05-09 22:26:30,0,0
213,Byron Bay,-28.65,153.62,clear sky,64.4,88,0,6.49,AU,2020-05-09 22:26:30,0,0
214,Oga,46.46,10.35,overcast clouds,53.6,81,89,5.82,IT,2020-05-09 22:26:30,0,0
215,The Valley,18.22,-63.06,few clouds,84.2,62,20,9.17,AI,2020-05-09 22:26:30,0,0
216,Guerrero Negro,27.98,-114.06,clear sky,77.14,43,0,14.41,MX,2020-05-09 22:23:32,0,0
217,Morehead,37.27,-87.18,clear sky,61.0,30,1,4.7,US,2020-05-09 22:26:30,0,0
218,Fasa,28.94,53.65,broken clouds,62.6,59,75,3.69,IR,2020-05-09 22:26:30,0,0
219,Chokurdakh,70.63,147.92,scattered clouds,23.99,98,47,4.99,RU,2020-05-09 22:26:31,0,0
220,Temyasovo,52.99,58.1,scattered clouds,59.0,54,40,6.71,RU,2020-05-09 22:26:31,0,0
221,Ouadda,8.08,22.4,broken clouds,70.21,65,54,2.98,CF,2020-05-09 22:26:31,0,0
222,Huarmey,-10.07,-78.15,scattered clouds,71.71,73,35,10.98,PE,2020-05-09 22:26:31,0,0
223,Saint George,37.1,-113.58,clear sky,91.99,8,1,4.7,US,2020-05-09 22:26:31,0,0
224,Paulba,13.71,123.25,overcast clouds,78.08,86,96,2.39,PH,2020-05-09 22:26:31,0,0
225,Chuy,-33.7,-53.46,broken clouds,57.42,69,80,6.58,UY,2020-05-09 22:26:31,0,0
226,Yumen,40.28,97.2,overcast clouds,44.71,49,91,12.97,CN,2020-05-09 22:26:32,0,0
227,Alvaraes,-3.22,-64.8,few clouds,80.6,88,20,3.36,BR,2020-05-09 22:26:32,0,0
228,San Quintin,30.48,-115.95,clear sky,70.12,64,0,10.0,MX,2020-05-09 22:26:32,0,0
229,Namibe,-15.2,12.15,few clouds,80.73,52,20,3.67,AO,2020-05-09 22:26:32,0,0
230,Piet Retief,-27.01,30.81,clear sky,48.92,95,0,2.19,ZA,2020-05-09 22:26:32,0,0
231,Arraial Do Cabo,-22.97,-42.03,clear sky,69.8,77,0,4.7,BR,2020-05-09 22:22:54,0,0
